rank,title,certificate,genre,rate,director,runtime,vote
136,Space Jam: A New Legacy,PG,Animation,4.4,Malcolm D. Lee,115,65664
137,The Electrical Life of Louis Wain,PG-13,Biography,6.8,Will Sharpe,111,10483
138,Jeepers Creepers: Reborn,Unrated,Horror,7.7,Timo Vuorensola,88,98
139,Gunpowder Milkshake,R,Action,6,Navot Papushado,114,38704
140,Candyman,R,Horror,5.9,Nia DaCosta,91,50791
141,The Mauritanian,R,Biography,7.4,Kevin Macdonald,129,47093
142,Cherry,R,Crime,6.6,Anthony Russo,142,29646
143,A Hero,PG-13,Drama,7.5,Asghar Farhadi,127,18429
144,Rumble,PG,Animation,5.9,Hamish Grieve,104,4359
145,Voyagers,PG-13,Adventure,5.4,Neil Burger,108,18124
146,The Dig,PG-13,Biography,7.1,Simon Stone,112,70721
147,The Forever Purge,R,Action,5.4,Everardo Gout,103,27126
148,Compartment Number 6,R,Drama,7.4,Juho Kuosmanen,107,5091
149,The Marksman,PG-13,Action,5.6,Robert Lorenz,108,29602
150,My Son,R,Crime,6,Christian Carion,95,8578
151,How It Ends,R,Comedy,5,Zoe Lister-Jones,82,2072
152,Queenpins,R,Comedy,6.3,Aron Gaudet,110,10379
153,The Ice Road,PG-13,Action,5.6,Jonathan Hensleigh,109,33768
154,'83,Unrated,Biography,7.4,Kabir Khan,162,21166
155,The Vault,R,Action,6.4,Jaume Balaguer?,118,21750
156,The Humans,R,Drama,6.2,Stephen Karam,108,5058
157,Nightride,Unrated,Crime,5.8,Stephen Fingleton,97,325
158,Night Teeth,TV-14,Action,5.6,Adam Randall,107,16119
159,Dangerous,R,Action,5.1,David Hackl,99,4055
160,Ali & Ava,Unrated,Drama,7.1,Clio Barnard,95,462
161,Judas and the Black Messiah,R,Biography,7.4,Shaka King,126,71162
162,Jolt,R,Action,5.6,Tanya Wexler,91,28196
163,Spiral,R,Crime,5.2,Darren Lynn Bousman,93,46086
164,Mother/Android,R,Drama,4.8,Mattson Tomlin,110,16638
165,The Colony,R,Action,5.4,Tim Fehlbaum,104,7298
166,Till Death,R,Thriller,5.8,S.K. Dale,88,17996
167,Barb and Star Go to Vista Del Mar,PG-13,Comedy,6.3,Josh Greenbaum,107,15997
168,Pinocchio: A True Story,PG,Animation,5.4,Vasiliy Rovenskiy,84,393
169,Without Remorse,R,Action,5.7,Stefano Sollima,109,54334
170,The Pilot. A Battle for Survival,Unrated,Biography,5.9,Renat Davletyarov,105,657
171,Passing,PG-13,Drama,6.7,Rebecca Hall,98,12688
172,The Phantom of the Open,PG-13,Comedy,7.7,Craig Roberts,102,211
173,The Trip,TV-MA,Action,6.9,Tommy Wirkola,113,17952
174,Silent Night,Unrated,Comedy,5.7,Camille Griffin,92,10272
175,"Paris, 13th District",R,Comedy,7,Jacques Audiard,105,1535
176,Le loup et le lion,PG,Family,6,Gilles de Maistre,99,844
177,Vivo,PG,Animation,6.7,Kirk DeMicco,95,16942
178,Fear Street: Part One - 1994,R,Drama,6.2,Leigh Janiak,107,73044
179,Sundown,R,Drama,6.6,Michel Franco,82,1173
180,Tom and Jerry,PG,Animation,5.3,Tim Story,101,32830
181,He's All That,TV-14,Comedy,4.3,Mark Waters,88,22844
182,Barbarians,Unrated,Thriller,6,Charles Dorfman,89,38
183,Lost Illusions,Unrated,Drama,7.6,Xavier Giannoli,149,1194
184,Swan Song,R,Drama,6.8,Benjamin Cleary,112,11303
185,PAW Patrol: The Movie,G,Animation,6.2,Cal Brunker,86,5409
186,Mothering Sunday,R,Drama,5.9,Eva Husson,104,1129
187,Bad Luck Banging or Loony Porn,Unrated,Comedy,6.6,Radu Jude,106,5655
188,Willy's Wonderland,TV-MA,Action,5.5,Kevin Lewis,88,25397
189,Things Heard & Seen,TV-MA,Drama,5.3,Shari Springer Berman,121,29450
190,Paranormal Activity: Next of Kin,R,Horror,5.2,William Eubank,98,9031
191,Memoria,PG,Drama,6.6,Apichatpong Weerasethakul,136,4294
192,Respect,PG-13,Biography,6.5,Liesl Tommy,145,11057
193,Intrusion,TV-14,Drama,5.3,Adam Salky,92,14611
194,Back to the Outback,PG,Animation,6.6,Harry Cripps,95,6657
195,"Batman: The Long Halloween, Part One",PG-13,Animation,7.3,Chris Palmer,85,13529
196,National Champions,R,Drama,5.5,Ric Roman Waugh,116,1033
197,Escape from Mogadishu,TV-14,Action,7.1,Seung-wan Ryu,121,3654
198,Aftermath,TV-MA,Drama,5.3,Peter Winther,114,14472
